DATE;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_11Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_12Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_13Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_14Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_15Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_16Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_17Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_18Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_19Y;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_20Y
25/08/2020;-0.618386;-0.658708;-0.674310;-0.666914;-0.641592;-0.603932;-0.558835;-0.510137;-0.460617;-0.412150;-0.365913;-0.322565;-0.282408;-0.245500;-0.211751;-0.180981;-0.152962;-0.127454;-0.104212;-0.083006
24/08/2020;-0.633759;-0.688654;-0.714112;-0.713629;-0.693388;-0.659658;-0.617754;-0.571758;-0.524593;-0.478225;-0.433879;-0.392248;-0.353655;-0.318175;-0.285730;-0.256150;-0.229221;-0.204708;-0.182378;-0.162008
21/08/2020;-0.643685;-0.695658;-0.719566;-0.718056;-0.696910;-0.662237;-0.619309;-0.572220;-0.523923;-0.476416;-0.430951;-0.388244;-0.348630;-0.312192;-0.278855;-0.248451;-0.220762;-0.195550;-0.172577;-0.151617
20/08/2020;-0.642358;-0.694922;-0.719277;-0.718507;-0.698466;-0.665193;-0.623850;-0.578428;-0.531799;-0.485904;-0.441964;-0.400673;-0.362360;-0.327109;-0.294851;-0.265424;-0.238620;-0.214211;-0.191967;-0.171669
19/08/2020;-0.633329;-0.686094;-0.707027;-0.701453;-0.676396;-0.638455;-0.593013;-0.544111;-0.494582;-0.446294;-0.400386;-0.357476;-0.317825;-0.281460;-0.248268;-0.218049;-0.190567;-0.165572;-0.142816;-0.122066
18/08/2020;-0.628751;-0.676425;-0.693265;-0.684554;-0.657184;-0.617595;-0.571022;-0.521375;-0.471385;-0.422838;-0.376812;-0.333879;-0.294268;-0.257984;-0.224894;-0.194790;-0.167428;-0.142552;-0.119913;-0.099274
17/08/2020;-0.623531;-0.670085;-0.684399;-0.672909;-0.643013;-0.601325;-0.553098;-0.502192;-0.451266;-0.402036;-0.355517;-0.312233;-0.272373;-0.235914;-0.202701;-0.172512;-0.145089;-0.120171;-0.097501;-0.076842
14/08/2020;-0.624618;-0.661556;-0.671783;-0.659187;-0.629706;-0.589136;-0.542286;-0.492784;-0.443178;-0.395139;-0.349673;-0.307308;-0.268248;-0.232484;-0.199879;-0.170221;-0.143268;-0.118765;-0.096466;-0.076139
13/08/2020;-0.621009;-0.655748;-0.666477;-0.655064;-0.626578;-0.586525;-0.539690;-0.489786;-0.439474;-0.390531;-0.344050;-0.300625;-0.260506;-0.223715;-0.190131;-0.159554;-0.131744;-0.106449;-0.083418;-0.062417
12/08/2020;-0.633521;-0.683563;-0.701573;-0.693555;-0.666744;-0.627723;-0.581769;-0.532791;-0.483502;-0.435665;-0.390339;-0.348083;-0.309114;-0.273434;-0.240906;-0.211322;-0.184438;-0.160002;-0.137767;-0.117500
11/08/2020;-0.635064;-0.690707;-0.712663;-0.707298;-0.682178;-0.644157;-0.598726;-0.549951;-0.500657;-0.452688;-0.407156;-0.364655;-0.325426;-0.289485;-0.256705;-0.226883;-0.199776;-0.175132;-0.152705;-0.132261
10/08/2020;-0.643715;-0.709667;-0.739455;-0.740227;-0.720075;-0.686199;-0.644313;-0.598628;-0.552063;-0.506527;-0.463176;-0.422637;-0.385180;-0.350838;-0.319506;-0.290996;-0.265080;-0.241519;-0.220079;-0.200535
07/08/2020;-0.643788;-0.702341;-0.732146;-0.735434;-0.718035;-0.686258;-0.645589;-0.600302;-0.553488;-0.507236;-0.462866;-0.421132;-0.382396;-0.346759;-0.314158;-0.284430;-0.257364;-0.232727;-0.210286;-0.189816
06/08/2020;-0.647837;-0.708662;-0.739818;-0.744020;-0.727344;-0.696217;-0.656174;-0.611504;-0.565293;-0.519628;-0.475820;-0.434619;-0.396383;-0.361211;-0.329039;-0.299708;-0.273006;-0.248703;-0.226568;-0.206378
05/08/2020;-0.648590;-0.703529;-0.726400;-0.722812;-0.699936;-0.664408;-0.621585;-0.575442;-0.528741;-0.483281;-0.440144;-0.399905;-0.362794;-0.328822;-0.297865;-0.269723;-0.244164;-0.220942;-0.199821;-0.180578
