Date;Price
31-12-1969;100.000
30-01-1970;94.455
27-02-1970;97.405
31-03-1970;97.708
30-04-1970;88.578
29-05-1970;82.990
30-06-1970;80.946
31-07-1970;85.965
31-08-1970;88.799
30-09-1970;91.667
30-10-1970;90.314
30-11-1970;92.337
31-12-1970;96.915
29-01-1971;101.369
26-02-1971;102.438
31-03-1971;106.933
30-04-1971;110.429
31-05-1971;107.814
30-06-1971;108.909
30-07-1971;107.168
31-08-1971;109.507
30-09-1971;108.466
29-10-1971;104.351
30-11-1971;105.233
31-12-1971;114.712
31-01-1972;118.911
29-02-1972;123.473
31-03-1972;125.187
28-04-1972;126.848
31-05-1972;129.432
30-06-1972;126.428
31-07-1972;128.381
31-08-1972;132.028
29-09-1972;130.019
31-10-1972;131.094
30-11-1972;137.975
29-12-1972;140.503
31-01-1973;140.826
28-02-1973;141.799
30-03-1973;141.997
30-04-1973;134.842
31-05-1973;134.440
29-06-1973;135.285
31-07-1973;138.510
31-08-1973;132.743
28-09-1973;136.584
31-10-1973;137.962
30-11-1973;120.073
31-12-1973;119.086
31-01-1974;119.999
28-02-1974;121.866
29-03-1974;118.780
30-04-1974;116.801
31-05-1974;112.098
28-06-1974;108.574
31-07-1974;102.144
30-08-1974;92.287
30-09-1974;83.680
31-10-1974;91.689
29-11-1974;90.257
31-12-1974;88.758
31-01-1975;101.701
28-02-1975;110.683
31-03-1975;111.494
30-04-1975;116.112
30-05-1975;118.858
30-06-1975;120.356
31-07-1975;113.706
29-08-1975;111.945
30-09-1975;107.251
31-10-1975;114.639
28-11-1975;117.774
31-12-1975;117.875
30-01-1976;128.408
27-02-1976;127.458
31-03-1976;128.961
30-04-1976;128.021
31-05-1976;125.888
30-06-1976;129.762
30-07-1976;128.548
31-08-1976;128.256
30-09-1976;129.333
29-10-1976;124.808
30-11-1976;124.318
31-12-1976;133.667
31-01-1977;129.180
28-02-1977;128.613
31-03-1977;127.809
29-04-1977;129.206
31-05-1977;127.451
30-06-1977;132.249
29-07-1977;130.476
31-08-1977;130.958
30-09-1977;132.589
31-10-1977;130.324
30-11-1977;131.957
30-12-1977;134.575
31-01-1978;130.616
28-02-1978;129.612
31-03-1978;135.475
28-04-1978;141.556
31-05-1978;143.331
30-06-1978;144.750
31-07-1978;155.181
31-08-1978;158.737
29-09-1978;160.561
31-10-1978;157.432
30-11-1978;151.859
29-12-1978;156.805
31-01-1979;160.811
28-02-1979;157.720
30-03-1979;164.318
30-04-1979;164.067
31-05-1979;161.215
29-06-1979;165.861
31-07-1979;167.094
31-08-1979;173.787
28-09-1979;177.675
31-10-1979;164.440
30-11-1979;169.474
31-12-1979;173.980
31-01-1980;184.435
29-02-1980;184.503
31-03-1980;164.629
30-04-1980;175.383
30-05-1980;183.992
30-06-1980;192.781
31-07-1980;198.672
29-08-1980;202.521
30-09-1980;208.571
31-10-1980;214.614
28-11-1980;223.556
31-12-1980;218.644
30-01-1981;212.250
27-02-1981;212.838
31-03-1981;220.375
30-04-1981;220.452
29-05-1981;216.119
30-06-1981;215.717
31-07-1981;212.043
31-08-1981;207.838
30-09-1981;192.186
30-10-1981;198.044
30-11-1981;212.731
31-12-1981;208.181
29-01-1982;205.087
26-02-1982;192.634
31-03-1982;187.341
30-04-1982;196.502
31-05-1982;191.513
30-06-1982;182.826
30-07-1982;180.439
31-08-1982;193.491
30-09-1982;194.351
29-10-1982;207.664
30-11-1982;218.621
31-12-1982;228.392
31-01-1983;233.223
28-02-1983;238.074
31-03-1983;246.407
29-04-1983;263.953
31-05-1983;261.323
30-06-1983;269.484
29-07-1983;264.634
31-08-1983;266.012
30-09-1983;271.354
31-10-1983;268.119
30-11-1983;275.001
30-12-1983;278.474
31-01-1984;280.739
29-02-1984;276.062
30-03-1984;289.006
30-04-1984;287.909
31-05-1984;266.284
29-06-1984;268.540
31-07-1984;259.050
31-08-1984;284.998
28-09-1984;283.868
31-10-1984;286.847
30-11-1984;285.717
31-12-1984;291.613
31-01-1985;307.636
28-02-1985;308.161
29-03-1985;318.779
30-04-1985;317.824
31-05-1985;334.076
28-06-1985;339.953
31-07-1985;346.882
30-08-1985;349.639
30-09-1985;352.162
31-10-1985;371.024
29-11-1985;391.668
31-12-1985;409.905
31-01-1986;415.868
28-02-1986;453.234
31-03-1986;497.416
30-04-1986;510.970
30-05-1986;509.368
30-06-1986;529.674
31-07-1986;533.795
29-08-1986;580.299
30-09-1986;557.094
31-10-1986;547.380
28-11-1986;570.392
31-12-1986;581.613
30-01-1987;649.780
27-02-1987;671.046
31-03-1987;712.438
30-04-1987;754.049
29-05-1987;754.929
30-06-1987;754.320
31-07-1987;769.218
31-08-1987;814.510
30-09-1987;800.149
30-10-1987;664.106
30-11-1987;647.759
31-12-1987;675.624
29-01-1988;691.913
29-02-1988;731.870
31-03-1988;753.770
29-04-1988;763.076
31-05-1988;747.624
30-06-1988;746.387
29-07-1988;760.221
31-08-1988;718.253
30-09-1988;748.520
31-10-1988;798.132
30-11-1988;825.706
30-12-1988;832.956
